[2024-11-20 15:54:48,058][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-11-20 15:54:49,477][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
[2024-11-20 15:55:15,671][src.train.train_delayed_match][INFO] - Starting training...
[2024-11-20 15:55:17,459][src.train.train_delayed_match][INFO] - 	 Starting Epoch:1 
[2024-11-20 15:55:20,162][src.train.train_delayed_match][INFO] - train epoch 001 loss 0.6931 accuracy 57.81
[2024-11-20 15:55:22,839][src.train.train_delayed_match][INFO] - eval  epoch 001 loss 0.6931 accuracy 51.37
[2024-11-20 15:55:26,738][src.train.train_delayed_match][INFO] - 	 Starting Epoch:2 
[2024-11-20 15:55:27,413][src.train.train_delayed_match][INFO] - train epoch 002 loss 0.6931 accuracy 48.44
[2024-11-20 15:55:27,414][src.train.train_delayed_match][INFO] - 	 Starting Epoch:3 
[2024-11-20 15:55:28,064][src.train.train_delayed_match][INFO] - train epoch 003 loss 0.6931 accuracy 54.69
[2024-11-20 15:55:28,065][src.train.train_delayed_match][INFO] - 	 Starting Epoch:4 
[2024-11-20 15:55:28,715][src.train.train_delayed_match][INFO] - train epoch 004 loss 0.6932 accuracy 45.31
[2024-11-20 15:55:28,716][src.train.train_delayed_match][INFO] - 	 Starting Epoch:5 
[2024-11-20 15:55:29,366][src.train.train_delayed_match][INFO] - train epoch 005 loss 0.6932 accuracy 48.44
[2024-11-20 15:55:30,010][src.train.train_delayed_match][INFO] - 	 Starting Epoch:6 
[2024-11-20 15:55:30,665][src.train.train_delayed_match][INFO] - train epoch 006 loss 0.6932 accuracy 57.81
[2024-11-20 15:55:30,666][src.train.train_delayed_match][INFO] - 	 Starting Epoch:7 
[2024-11-20 15:55:31,302][src.train.train_delayed_match][INFO] - train epoch 007 loss 0.6931 accuracy 54.69
[2024-11-20 15:55:31,303][src.train.train_delayed_match][INFO] - 	 Starting Epoch:8 
[2024-11-20 15:55:31,914][src.train.train_delayed_match][INFO] - train epoch 008 loss 0.6931 accuracy 50.00
[2024-11-20 15:55:31,916][src.train.train_delayed_match][INFO] - 	 Starting Epoch:9 
[2024-11-20 15:55:32,534][src.train.train_delayed_match][INFO] - train epoch 009 loss 0.6931 accuracy 46.88
[2024-11-20 15:55:32,536][src.train.train_delayed_match][INFO] - 	 Starting Epoch:10 
[2024-11-20 15:55:33,151][src.train.train_delayed_match][INFO] - train epoch 010 loss 0.6931 accuracy 48.44
[2024-11-20 15:55:33,153][src.train.train_delayed_match][INFO] - 	 Starting Epoch:11 
[2024-11-20 15:55:33,768][src.train.train_delayed_match][INFO] - train epoch 011 loss 0.6932 accuracy 45.31
[2024-11-20 15:55:33,769][src.train.train_delayed_match][INFO] - 	 Starting Epoch:12 
[2024-11-20 15:55:34,382][src.train.train_delayed_match][INFO] - train epoch 012 loss 0.6931 accuracy 40.62
[2024-11-20 15:55:34,383][src.train.train_delayed_match][INFO] - 	 Starting Epoch:13 
[2024-11-20 15:55:34,999][src.train.train_delayed_match][INFO] - train epoch 013 loss 0.6931 accuracy 48.44
[2024-11-20 15:55:35,000][src.train.train_delayed_match][INFO] - 	 Starting Epoch:14 
[2024-11-20 15:55:35,605][src.train.train_delayed_match][INFO] - train epoch 014 loss 0.6931 accuracy 43.75
[2024-11-20 15:55:35,607][src.train.train_delayed_match][INFO] - 	 Starting Epoch:15 
[2024-11-20 15:55:36,219][src.train.train_delayed_match][INFO] - train epoch 015 loss 0.6931 accuracy 57.81
