[2024-07-17 21:55:28,482][src.cue_accumulation.train_cue_accumulation][INFO] - Starting training...
[2024-07-17 21:55:45,528][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:1 
[2024-07-17 21:55:52,884][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 001 loss 0.7022 accuracy 50.00
[2024-07-17 21:56:00,898][src.cue_accumulation.train_cue_accumulation][INFO] - eval  epoch 001 loss 0.7119 accuracy 47.66
[2024-07-17 21:56:02,389][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:2 
[2024-07-17 21:56:04,342][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 002 loss 0.7254 accuracy 31.25
[2024-07-17 21:56:04,342][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:3 
[2024-07-17 21:56:06,292][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 003 loss 0.7147 accuracy 46.88
[2024-07-17 21:56:06,292][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:4 
[2024-07-17 21:56:08,219][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 004 loss 0.6854 accuracy 59.38
[2024-07-17 21:56:09,742][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:5 
[2024-07-17 21:56:11,782][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 005 loss 0.7066 accuracy 46.88
[2024-07-17 21:56:11,783][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:6 
[2024-07-17 21:56:13,719][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 006 loss 0.6854 accuracy 54.69
[2024-07-17 21:56:13,720][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:7 
[2024-07-17 21:56:15,656][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 007 loss 0.6876 accuracy 45.31
[2024-07-17 21:56:15,657][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:8 
[2024-07-17 21:56:17,592][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 008 loss 0.6956 accuracy 40.62
[2024-07-17 21:56:42,213][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:9 
[2024-07-17 21:56:44,153][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 009 loss 0.7039 accuracy 48.44
[2024-07-17 21:56:44,153][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:10 
[2024-07-17 21:56:46,030][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 010 loss 0.6732 accuracy 53.12
[2024-07-17 21:56:46,031][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:11 
[2024-07-17 21:56:47,893][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 011 loss 0.7228 accuracy 46.88
[2024-07-17 21:56:47,894][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:12 
[2024-07-17 21:56:49,760][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 012 loss 0.7027 accuracy 54.69
[2024-07-17 21:56:52,924][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:13 
[2024-07-17 21:56:54,812][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 013 loss 0.7069 accuracy 48.44
[2024-07-17 21:56:54,813][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:14 
[2024-07-17 21:56:56,674][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 014 loss 0.7099 accuracy 42.19
[2024-07-17 21:56:56,674][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:15 
[2024-07-17 21:56:58,533][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 015 loss 0.7011 accuracy 50.00
[2024-07-17 21:56:58,535][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:16 
[2024-07-17 21:57:00,397][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 016 loss 0.7068 accuracy 46.88
[2024-07-17 21:58:16,866][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:17 
[2024-07-17 21:58:18,874][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 017 loss 0.6960 accuracy 48.44
[2024-07-17 21:58:18,874][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:18 
[2024-07-17 21:58:20,806][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 018 loss 0.6756 accuracy 59.38
[2024-07-17 21:58:20,807][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:19 
[2024-07-17 21:58:22,735][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 019 loss 0.7139 accuracy 54.69
[2024-07-17 21:58:22,736][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:20 
[2024-07-17 21:58:24,669][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 020 loss 0.6660 accuracy 62.50
[2024-07-17 21:59:06,437][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:21 
[2024-07-17 21:59:09,482][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 021 loss 0.7169 accuracy 48.44
[2024-07-17 21:59:09,483][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:22 
[2024-07-17 21:59:11,414][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 022 loss 0.7044 accuracy 46.88
[2024-07-17 21:59:11,417][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:23 
[2024-07-17 21:59:13,350][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 023 loss 0.6869 accuracy 65.62
[2024-07-17 21:59:13,779][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:24 
[2024-07-17 21:59:15,732][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 024 loss 0.6918 accuracy 51.56
[2024-07-17 21:59:15,733][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:25 
[2024-07-17 21:59:17,667][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 025 loss 0.7106 accuracy 40.62
[2024-07-17 21:59:17,668][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:26 
[2024-07-17 21:59:19,596][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 026 loss 0.6756 accuracy 56.25
[2024-07-17 21:59:25,379][src.cue_accumulation.train_cue_accumulation][INFO] - eval  epoch 026 loss 0.7048 accuracy 50.78
[2024-07-17 21:59:34,902][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:27 
[2024-07-17 21:59:38,024][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 027 loss 0.6929 accuracy 51.56
[2024-07-17 21:59:38,025][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:28 
[2024-07-17 21:59:39,906][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 028 loss 0.6676 accuracy 56.25
[2024-07-17 21:59:39,907][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:29 
[2024-07-17 21:59:41,771][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 029 loss 0.6815 accuracy 59.38
[2024-07-17 22:00:18,790][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:30 
[2024-07-17 22:00:20,780][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 030 loss 0.7122 accuracy 45.31
[2024-07-17 22:00:20,780][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:31 
[2024-07-17 22:00:22,712][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 031 loss 0.7197 accuracy 45.31
[2024-07-17 22:00:22,713][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:32 
[2024-07-17 22:00:24,644][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 032 loss 0.6848 accuracy 53.12
[2024-07-17 22:00:24,644][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:33 
[2024-07-17 22:00:26,579][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 033 loss 0.7041 accuracy 45.31
[2024-07-17 22:00:29,044][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:34 
[2024-07-17 22:00:30,999][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 034 loss 0.6682 accuracy 62.50
[2024-07-17 22:00:31,000][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:35 
[2024-07-17 22:00:32,877][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 035 loss 0.6940 accuracy 53.12
[2024-07-17 22:00:32,878][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:36 
[2024-07-17 22:00:34,742][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 036 loss 0.6723 accuracy 59.38
[2024-07-17 22:00:34,743][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:37 
[2024-07-17 22:00:36,607][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 037 loss 0.6740 accuracy 65.62
[2024-07-17 22:01:17,445][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:38 
[2024-07-17 22:01:19,443][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 038 loss 0.6725 accuracy 67.19
[2024-07-17 22:01:19,444][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:39 
[2024-07-17 22:01:21,378][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 039 loss 0.7082 accuracy 45.31
[2024-07-17 22:01:21,379][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:40 
[2024-07-17 22:01:23,312][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 040 loss 0.6981 accuracy 54.69
[2024-07-17 22:01:23,315][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:41 
[2024-07-17 22:01:25,257][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 041 loss 0.6770 accuracy 62.50
[2024-07-17 22:01:25,941][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:42 
[2024-07-17 22:01:27,895][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 042 loss 0.6941 accuracy 50.00
[2024-07-17 22:01:27,896][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:43 
[2024-07-17 22:01:29,834][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 043 loss 0.6803 accuracy 57.81
[2024-07-17 22:01:29,834][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:44 
[2024-07-17 22:01:31,743][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 044 loss 0.6967 accuracy 57.81
[2024-07-17 22:01:31,744][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:45 
[2024-07-17 22:01:33,605][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 045 loss 0.6841 accuracy 51.56
[2024-07-17 22:01:33,782][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:46 
[2024-07-17 22:01:35,644][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 046 loss 0.6967 accuracy 50.00
[2024-07-17 22:01:35,645][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:47 
[2024-07-17 22:01:37,506][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 047 loss 0.6849 accuracy 54.69
[2024-07-17 22:01:37,509][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:48 
[2024-07-17 22:01:39,367][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 048 loss 0.6822 accuracy 54.69
[2024-07-17 22:01:39,367][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:49 
[2024-07-17 22:01:41,241][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 049 loss 0.6614 accuracy 64.06
[2024-07-17 22:01:41,661][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:50 
[2024-07-17 22:01:43,516][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 050 loss 0.6681 accuracy 60.94
[2024-07-17 22:01:43,517][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:51 
[2024-07-17 22:01:45,372][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 051 loss 0.6929 accuracy 60.94
[2024-07-17 22:01:50,856][src.cue_accumulation.train_cue_accumulation][INFO] - eval  epoch 051 loss 0.6650 accuracy 59.38
[2024-07-17 22:01:51,108][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:52 
[2024-07-17 22:01:52,963][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 052 loss 0.6650 accuracy 62.50
[2024-07-17 22:01:52,964][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:53 
[2024-07-17 22:01:54,839][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 053 loss 0.6625 accuracy 67.19
[2024-07-17 22:01:54,839][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:54 
[2024-07-17 22:01:56,698][src.cue_accumulation.train_cue_accumulation][INFO] - train epoch 054 loss 0.6693 accuracy 59.38
[2024-07-17 22:01:56,699][src.cue_accumulation.train_cue_accumulation][INFO] - 	 Starting Epoch:55 
