[2024-08-16 15:00:46,516][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-08-16 15:00:49,326][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
[2024-08-16 15:01:00,628][src.train.train_pattern_generation][INFO] - Starting training...
[2024-08-16 15:01:00,632][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:1 
[2024-08-16 15:01:05,406][src.train.train_pattern_generation][INFO] - train epoch 001 MSE 0.1014 NMSE 1.014
[2024-08-16 15:01:06,232][src.train.train_pattern_generation][INFO] - eval  epoch 001 MSE 0.1014 nMSE 1.01
[2024-08-16 15:01:06,233][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:2 
[2024-08-16 15:01:06,418][src.train.train_pattern_generation][INFO] - train epoch 002 MSE 0.1014 NMSE 1.014
[2024-08-16 15:01:06,419][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:3 
[2024-08-16 15:01:06,602][src.train.train_pattern_generation][INFO] - train epoch 003 MSE 0.1010 NMSE 1.010
[2024-08-16 15:01:06,602][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:4 
[2024-08-16 15:01:06,785][src.train.train_pattern_generation][INFO] - train epoch 004 MSE 0.1012 NMSE 1.012
[2024-08-16 15:01:06,786][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:5 
[2024-08-16 15:01:06,968][src.train.train_pattern_generation][INFO] - train epoch 005 MSE 0.1010 NMSE 1.010
[2024-08-16 15:01:06,969][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:6 
[2024-08-16 15:01:07,152][src.train.train_pattern_generation][INFO] - train epoch 006 MSE 0.1008 NMSE 1.008
[2024-08-16 15:01:07,153][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:7 
[2024-08-16 15:01:07,335][src.train.train_pattern_generation][INFO] - train epoch 007 MSE 0.1006 NMSE 1.006
[2024-08-16 15:01:07,336][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:8 
[2024-08-16 15:01:07,519][src.train.train_pattern_generation][INFO] - train epoch 008 MSE 0.1006 NMSE 1.006
[2024-08-16 15:01:07,519][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:9 
[2024-08-16 15:01:07,702][src.train.train_pattern_generation][INFO] - train epoch 009 MSE 0.1004 NMSE 1.004
[2024-08-16 15:01:07,703][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:10 
[2024-08-16 15:01:07,886][src.train.train_pattern_generation][INFO] - train epoch 010 MSE 0.1002 NMSE 1.002
[2024-08-16 15:01:07,886][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:11 
[2024-08-16 15:01:08,069][src.train.train_pattern_generation][INFO] - train epoch 011 MSE 0.1000 NMSE 1.000
[2024-08-16 15:01:08,069][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:12 
[2024-08-16 15:01:08,252][src.train.train_pattern_generation][INFO] - train epoch 012 MSE 0.0999 NMSE 0.999
[2024-08-16 15:01:08,253][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:13 
[2024-08-16 15:01:08,435][src.train.train_pattern_generation][INFO] - train epoch 013 MSE 0.0996 NMSE 0.996
[2024-08-16 15:01:08,436][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:14 
[2024-08-16 15:01:08,619][src.train.train_pattern_generation][INFO] - train epoch 014 MSE 0.0994 NMSE 0.994
[2024-08-16 15:01:08,620][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:15 
[2024-08-16 15:01:08,803][src.train.train_pattern_generation][INFO] - train epoch 015 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:08,803][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:16 
[2024-08-16 15:01:08,987][src.train.train_pattern_generation][INFO] - train epoch 016 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:08,987][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:17 
[2024-08-16 15:01:09,170][src.train.train_pattern_generation][INFO] - train epoch 017 MSE 0.0991 NMSE 0.991
[2024-08-16 15:01:09,171][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:18 
[2024-08-16 15:01:09,354][src.train.train_pattern_generation][INFO] - train epoch 018 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:09,355][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:19 
[2024-08-16 15:01:09,538][src.train.train_pattern_generation][INFO] - train epoch 019 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:09,539][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:20 
[2024-08-16 15:01:09,722][src.train.train_pattern_generation][INFO] - train epoch 020 MSE 0.0989 NMSE 0.989
[2024-08-16 15:01:09,723][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:21 
[2024-08-16 15:01:09,906][src.train.train_pattern_generation][INFO] - train epoch 021 MSE 0.0989 NMSE 0.989
[2024-08-16 15:01:09,906][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:22 
[2024-08-16 15:01:10,090][src.train.train_pattern_generation][INFO] - train epoch 022 MSE 0.0989 NMSE 0.989
[2024-08-16 15:01:10,091][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:23 
[2024-08-16 15:01:10,274][src.train.train_pattern_generation][INFO] - train epoch 023 MSE 0.0988 NMSE 0.988
[2024-08-16 15:01:10,274][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:24 
[2024-08-16 15:01:10,458][src.train.train_pattern_generation][INFO] - train epoch 024 MSE 0.0987 NMSE 0.987
[2024-08-16 15:01:10,459][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:25 
[2024-08-16 15:01:10,642][src.train.train_pattern_generation][INFO] - train epoch 025 MSE 0.0989 NMSE 0.989
[2024-08-16 15:01:10,642][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:26 
[2024-08-16 15:01:10,825][src.train.train_pattern_generation][INFO] - train epoch 026 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:10,897][src.train.train_pattern_generation][INFO] - eval  epoch 026 MSE 0.0991 nMSE 0.99
[2024-08-16 15:01:10,898][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:27 
[2024-08-16 15:01:11,081][src.train.train_pattern_generation][INFO] - train epoch 027 MSE 0.0991 NMSE 0.991
[2024-08-16 15:01:11,081][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:28 
[2024-08-16 15:01:11,266][src.train.train_pattern_generation][INFO] - train epoch 028 MSE 0.0991 NMSE 0.991
[2024-08-16 15:01:11,266][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:29 
[2024-08-16 15:01:11,449][src.train.train_pattern_generation][INFO] - train epoch 029 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:11,450][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:30 
[2024-08-16 15:01:11,633][src.train.train_pattern_generation][INFO] - train epoch 030 MSE 0.0991 NMSE 0.991
[2024-08-16 15:01:11,633][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:31 
[2024-08-16 15:01:11,816][src.train.train_pattern_generation][INFO] - train epoch 031 MSE 0.0993 NMSE 0.993
[2024-08-16 15:01:11,817][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:32 
[2024-08-16 15:01:12,000][src.train.train_pattern_generation][INFO] - train epoch 032 MSE 0.0993 NMSE 0.993
[2024-08-16 15:01:12,680][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:33 
[2024-08-16 15:01:12,864][src.train.train_pattern_generation][INFO] - train epoch 033 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:12,865][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:34 
[2024-08-16 15:01:13,048][src.train.train_pattern_generation][INFO] - train epoch 034 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:13,048][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:35 
[2024-08-16 15:01:13,232][src.train.train_pattern_generation][INFO] - train epoch 035 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:13,232][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:36 
[2024-08-16 15:01:13,415][src.train.train_pattern_generation][INFO] - train epoch 036 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:13,416][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:37 
[2024-08-16 15:01:13,599][src.train.train_pattern_generation][INFO] - train epoch 037 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:13,600][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:38 
[2024-08-16 15:01:13,783][src.train.train_pattern_generation][INFO] - train epoch 038 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:13,783][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:39 
[2024-08-16 15:01:13,967][src.train.train_pattern_generation][INFO] - train epoch 039 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:13,967][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:40 
[2024-08-16 15:01:14,151][src.train.train_pattern_generation][INFO] - train epoch 040 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:14,151][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:41 
[2024-08-16 15:01:14,335][src.train.train_pattern_generation][INFO] - train epoch 041 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:14,336][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:42 
[2024-08-16 15:01:14,519][src.train.train_pattern_generation][INFO] - train epoch 042 MSE 0.0991 NMSE 0.991
[2024-08-16 15:01:14,519][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:43 
[2024-08-16 15:01:14,703][src.train.train_pattern_generation][INFO] - train epoch 043 MSE 0.0992 NMSE 0.992
[2024-08-16 15:01:14,703][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:44 
[2024-08-16 15:01:14,886][src.train.train_pattern_generation][INFO] - train epoch 044 MSE 0.0993 NMSE 0.993
[2024-08-16 15:01:14,887][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:45 
[2024-08-16 15:01:15,070][src.train.train_pattern_generation][INFO] - train epoch 045 MSE 0.0991 NMSE 0.991
[2024-08-16 15:01:15,071][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:46 
[2024-08-16 15:01:15,254][src.train.train_pattern_generation][INFO] - train epoch 046 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:15,255][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:47 
[2024-08-16 15:01:15,438][src.train.train_pattern_generation][INFO] - train epoch 047 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:15,438][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:48 
[2024-08-16 15:01:15,621][src.train.train_pattern_generation][INFO] - train epoch 048 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:15,622][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:49 
[2024-08-16 15:01:15,805][src.train.train_pattern_generation][INFO] - train epoch 049 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:15,806][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:50 
[2024-08-16 15:01:15,989][src.train.train_pattern_generation][INFO] - train epoch 050 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:15,990][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:51 
[2024-08-16 15:01:16,173][src.train.train_pattern_generation][INFO] - train epoch 051 MSE 0.0990 NMSE 0.990
[2024-08-16 15:01:16,245][src.train.train_pattern_generation][INFO] - eval  epoch 051 MSE 0.0989 nMSE 0.99
[2024-08-16 15:01:16,245][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:52 
[2024-08-16 15:01:16,429][src.train.train_pattern_generation][INFO] - train epoch 052 MSE 0.0989 NMSE 0.989
