[2024-08-13 15:35:51,872][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-08-13 15:35:54,025][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
[2024-08-13 15:36:29,792][src.train.train_pattern_generation][INFO] - Starting training...
[2024-08-13 15:37:12,631][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:1 
[2024-08-13 15:37:15,403][src.train.train_pattern_generation][INFO] - train epoch 001 MSE 15.5362 NMSE 97.101
[2024-08-13 15:38:13,806][src.train.train_pattern_generation][INFO] - eval  epoch 001 MSE 14.5394 nMSE 90.87
[2024-08-13 15:38:13,806][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:2 
[2024-08-13 15:38:14,290][src.train.train_pattern_generation][INFO] - train epoch 002 MSE 13.9771 NMSE 87.357
[2024-08-13 15:38:14,291][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:3 
[2024-08-13 15:38:14,721][src.train.train_pattern_generation][INFO] - train epoch 003 MSE 12.7894 NMSE 79.934
[2024-08-13 15:38:14,722][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:4 
[2024-08-13 15:38:15,151][src.train.train_pattern_generation][INFO] - train epoch 004 MSE 11.7911 NMSE 73.695
[2024-08-13 15:38:15,152][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:5 
[2024-08-13 15:38:15,581][src.train.train_pattern_generation][INFO] - train epoch 005 MSE 10.9429 NMSE 68.393
[2024-08-13 15:38:15,582][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:6 
[2024-08-13 15:38:16,011][src.train.train_pattern_generation][INFO] - train epoch 006 MSE 10.0096 NMSE 62.560
[2024-08-13 15:38:16,012][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:7 
[2024-08-13 15:38:16,442][src.train.train_pattern_generation][INFO] - train epoch 007 MSE 9.4836 NMSE 59.273
[2024-08-13 15:38:16,443][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:8 
[2024-08-13 15:38:16,870][src.train.train_pattern_generation][INFO] - train epoch 008 MSE 8.2410 NMSE 51.506
[2024-08-13 15:38:16,871][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:9 
[2024-08-13 15:38:17,299][src.train.train_pattern_generation][INFO] - train epoch 009 MSE 7.5290 NMSE 47.056
[2024-08-13 15:38:17,300][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:10 
[2024-08-13 15:38:17,731][src.train.train_pattern_generation][INFO] - train epoch 010 MSE 7.0594 NMSE 44.121
[2024-08-13 15:38:17,732][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:11 
[2024-08-13 15:38:18,161][src.train.train_pattern_generation][INFO] - train epoch 011 MSE 6.6840 NMSE 41.775
[2024-08-13 15:38:18,162][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:12 
[2024-08-13 15:38:18,590][src.train.train_pattern_generation][INFO] - train epoch 012 MSE 6.0989 NMSE 38.118
[2024-08-13 15:38:18,591][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:13 
[2024-08-13 15:38:19,019][src.train.train_pattern_generation][INFO] - train epoch 013 MSE 5.8389 NMSE 36.493
[2024-08-13 15:38:19,020][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:14 
[2024-08-13 15:38:19,447][src.train.train_pattern_generation][INFO] - train epoch 014 MSE 5.4005 NMSE 33.753
[2024-08-13 15:40:14,214][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:15 
[2024-08-13 15:40:14,723][src.train.train_pattern_generation][INFO] - train epoch 015 MSE 5.0541 NMSE 31.588
[2024-08-13 15:40:14,724][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:16 
[2024-08-13 15:40:15,153][src.train.train_pattern_generation][INFO] - train epoch 016 MSE 4.6709 NMSE 29.193
[2024-08-13 15:40:15,154][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:17 
[2024-08-13 15:40:15,584][src.train.train_pattern_generation][INFO] - train epoch 017 MSE 4.4682 NMSE 27.926
[2024-08-13 15:40:15,585][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:18 
[2024-08-13 15:40:16,015][src.train.train_pattern_generation][INFO] - train epoch 018 MSE 4.0891 NMSE 25.557
[2024-08-13 15:40:16,016][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:19 
[2024-08-13 15:40:16,446][src.train.train_pattern_generation][INFO] - train epoch 019 MSE 3.8555 NMSE 24.097
[2024-08-13 15:40:16,447][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:20 
[2024-08-13 15:40:16,875][src.train.train_pattern_generation][INFO] - train epoch 020 MSE 3.6872 NMSE 23.045
[2024-08-13 15:40:16,876][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:21 
[2024-08-13 15:40:17,305][src.train.train_pattern_generation][INFO] - train epoch 021 MSE 3.5300 NMSE 22.062
[2024-08-13 15:40:17,306][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:22 
[2024-08-13 15:40:17,737][src.train.train_pattern_generation][INFO] - train epoch 022 MSE 3.1072 NMSE 19.420
[2024-08-13 15:40:17,738][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:23 
[2024-08-13 15:40:18,167][src.train.train_pattern_generation][INFO] - train epoch 023 MSE 3.0206 NMSE 18.878
[2024-08-13 15:40:18,168][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:24 
[2024-08-13 15:40:18,597][src.train.train_pattern_generation][INFO] - train epoch 024 MSE 2.9132 NMSE 18.208
[2024-08-13 15:40:18,598][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:25 
[2024-08-13 15:40:19,026][src.train.train_pattern_generation][INFO] - train epoch 025 MSE 2.8957 NMSE 18.098
[2024-08-13 15:40:19,027][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:26 
[2024-08-13 15:40:19,457][src.train.train_pattern_generation][INFO] - train epoch 026 MSE 2.7562 NMSE 17.226
[2024-08-13 15:40:19,587][src.train.train_pattern_generation][INFO] - eval  epoch 026 MSE 2.6046 nMSE 16.28
[2024-08-13 15:40:19,588][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:27 
[2024-08-13 15:40:20,020][src.train.train_pattern_generation][INFO] - train epoch 027 MSE 2.5919 NMSE 16.199
[2024-08-13 15:40:20,021][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:28 
[2024-08-13 15:40:20,451][src.train.train_pattern_generation][INFO] - train epoch 028 MSE 2.3026 NMSE 14.391
[2024-08-13 15:40:20,919][src.train.train_pattern_generation][INFO] - 	 Starting Epoch:29 
