[2024-11-20 17:33:37,294][jax._src.xla_bridge][INFO] - Unable to initialize backend 'rocm': module 'jaxlib.xla_extension' has no attribute 'GpuAllocatorConfig'
[2024-11-20 17:33:38,075][jax._src.xla_bridge][INFO] - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
[2024-11-20 17:34:05,276][src.train.train_delayed_match][INFO] - Starting training...
[2024-11-20 17:34:06,238][src.train.train_delayed_match][INFO] - 	 Starting Epoch:1 
[2024-11-20 17:34:09,518][src.train.train_delayed_match][INFO] - train epoch 001 loss 0.6932 accuracy 46.88
[2024-11-20 17:34:12,619][src.train.train_delayed_match][INFO] - eval  epoch 001 loss 0.6931 accuracy 45.70
[2024-11-20 17:34:16,135][src.train.train_delayed_match][INFO] - 	 Starting Epoch:2 
[2024-11-20 17:34:16,880][src.train.train_delayed_match][INFO] - train epoch 002 loss 0.6931 accuracy 48.44
[2024-11-20 17:34:16,881][src.train.train_delayed_match][INFO] - 	 Starting Epoch:3 
[2024-11-20 17:34:17,600][src.train.train_delayed_match][INFO] - train epoch 003 loss 0.6932 accuracy 43.75
[2024-11-20 17:34:17,602][src.train.train_delayed_match][INFO] - 	 Starting Epoch:4 
[2024-11-20 17:34:18,320][src.train.train_delayed_match][INFO] - train epoch 004 loss 0.6932 accuracy 40.62
[2024-11-20 17:34:18,321][src.train.train_delayed_match][INFO] - 	 Starting Epoch:5 
[2024-11-20 17:34:19,042][src.train.train_delayed_match][INFO] - train epoch 005 loss 0.6931 accuracy 60.94
[2024-11-20 17:34:22,583][src.train.train_delayed_match][INFO] - 	 Starting Epoch:6 
[2024-11-20 17:34:23,498][src.train.train_delayed_match][INFO] - train epoch 006 loss 0.6931 accuracy 46.88
[2024-11-20 17:34:23,500][src.train.train_delayed_match][INFO] - 	 Starting Epoch:7 
[2024-11-20 17:34:24,216][src.train.train_delayed_match][INFO] - train epoch 007 loss 0.6931 accuracy 56.25
[2024-11-20 17:34:24,218][src.train.train_delayed_match][INFO] - 	 Starting Epoch:8 
[2024-11-20 17:34:24,933][src.train.train_delayed_match][INFO] - train epoch 008 loss 0.6932 accuracy 48.44
[2024-11-20 17:34:24,934][src.train.train_delayed_match][INFO] - 	 Starting Epoch:9 
[2024-11-20 17:34:25,651][src.train.train_delayed_match][INFO] - train epoch 009 loss 0.6931 accuracy 54.69
[2024-11-20 17:34:25,652][src.train.train_delayed_match][INFO] - 	 Starting Epoch:10 
[2024-11-20 17:34:26,368][src.train.train_delayed_match][INFO] - train epoch 010 loss 0.6931 accuracy 51.56
[2024-11-20 17:34:26,370][src.train.train_delayed_match][INFO] - 	 Starting Epoch:11 
[2024-11-20 17:34:27,087][src.train.train_delayed_match][INFO] - train epoch 011 loss 0.6932 accuracy 42.19
[2024-11-20 17:34:27,089][src.train.train_delayed_match][INFO] - 	 Starting Epoch:12 
[2024-11-20 17:34:27,806][src.train.train_delayed_match][INFO] - train epoch 012 loss 0.6932 accuracy 57.81
[2024-11-20 17:34:27,808][src.train.train_delayed_match][INFO] - 	 Starting Epoch:13 
[2024-11-20 17:34:28,527][src.train.train_delayed_match][INFO] - train epoch 013 loss 0.6932 accuracy 37.50
[2024-11-20 17:34:28,528][src.train.train_delayed_match][INFO] - 	 Starting Epoch:14 
[2024-11-20 17:34:29,244][src.train.train_delayed_match][INFO] - train epoch 014 loss 0.6931 accuracy 51.56
[2024-11-20 17:34:30,244][src.train.train_delayed_match][INFO] - 	 Starting Epoch:15 
[2024-11-20 17:34:30,963][src.train.train_delayed_match][INFO] - train epoch 015 loss 0.6931 accuracy 45.31
[2024-11-20 17:34:30,964][src.train.train_delayed_match][INFO] - 	 Starting Epoch:16 
[2024-11-20 17:34:31,672][src.train.train_delayed_match][INFO] - train epoch 016 loss 0.6931 accuracy 35.94
[2024-11-20 17:34:31,674][src.train.train_delayed_match][INFO] - 	 Starting Epoch:17 
[2024-11-20 17:34:32,379][src.train.train_delayed_match][INFO] - train epoch 017 loss 0.6931 accuracy 40.62
[2024-11-20 17:34:32,380][src.train.train_delayed_match][INFO] - 	 Starting Epoch:18 
[2024-11-20 17:34:33,084][src.train.train_delayed_match][INFO] - train epoch 018 loss 0.6932 accuracy 34.38
[2024-11-20 17:34:33,086][src.train.train_delayed_match][INFO] - 	 Starting Epoch:19 
[2024-11-20 17:34:33,792][src.train.train_delayed_match][INFO] - train epoch 019 loss 0.6932 accuracy 39.06
[2024-11-20 17:34:33,794][src.train.train_delayed_match][INFO] - 	 Starting Epoch:20 
[2024-11-20 17:34:34,502][src.train.train_delayed_match][INFO] - train epoch 020 loss 0.6932 accuracy 32.81
[2024-11-20 17:34:34,504][src.train.train_delayed_match][INFO] - 	 Starting Epoch:21 
[2024-11-20 17:34:35,209][src.train.train_delayed_match][INFO] - train epoch 021 loss 0.6931 accuracy 32.81
[2024-11-20 17:34:35,210][src.train.train_delayed_match][INFO] - 	 Starting Epoch:22 
[2024-11-20 17:34:35,915][src.train.train_delayed_match][INFO] - train epoch 022 loss 0.6931 accuracy 40.62
[2024-11-20 17:34:35,916][src.train.train_delayed_match][INFO] - 	 Starting Epoch:23 
[2024-11-20 17:34:36,621][src.train.train_delayed_match][INFO] - train epoch 023 loss 0.6931 accuracy 35.94
[2024-11-20 17:34:38,024][src.train.train_delayed_match][INFO] - 	 Starting Epoch:24 
[2024-11-20 17:34:38,751][src.train.train_delayed_match][INFO] - train epoch 024 loss 0.6931 accuracy 34.38
[2024-11-20 17:34:38,752][src.train.train_delayed_match][INFO] - 	 Starting Epoch:25 
[2024-11-20 17:34:39,457][src.train.train_delayed_match][INFO] - train epoch 025 loss 0.6932 accuracy 35.94
[2024-11-20 17:34:39,458][src.train.train_delayed_match][INFO] - 	 Starting Epoch:26 
[2024-11-20 17:34:40,162][src.train.train_delayed_match][INFO] - train epoch 026 loss 0.6931 accuracy 34.38
[2024-11-20 17:34:42,272][src.train.train_delayed_match][INFO] - eval  epoch 026 loss 0.6931 accuracy 38.28
[2024-11-20 17:34:42,273][src.train.train_delayed_match][INFO] - 	 Starting Epoch:27 
[2024-11-20 17:34:42,978][src.train.train_delayed_match][INFO] - train epoch 027 loss 0.6931 accuracy 43.75
[2024-11-20 17:34:42,980][src.train.train_delayed_match][INFO] - 	 Starting Epoch:28 
[2024-11-20 17:34:43,686][src.train.train_delayed_match][INFO] - train epoch 028 loss 0.6930 accuracy 35.94
[2024-11-20 17:34:43,687][src.train.train_delayed_match][INFO] - 	 Starting Epoch:29 
[2024-11-20 17:34:44,394][src.train.train_delayed_match][INFO] - train epoch 029 loss 0.6921 accuracy 51.56
[2024-11-20 17:34:45,341][src.train.train_delayed_match][INFO] - 	 Starting Epoch:30 
[2024-11-20 17:34:46,046][src.train.train_delayed_match][INFO] - train epoch 030 loss 0.6924 accuracy 53.12
[2024-11-20 17:34:46,048][src.train.train_delayed_match][INFO] - 	 Starting Epoch:31 
[2024-11-20 17:34:46,752][src.train.train_delayed_match][INFO] - train epoch 031 loss 0.6924 accuracy 53.12
[2024-11-20 17:34:46,754][src.train.train_delayed_match][INFO] - 	 Starting Epoch:32 
[2024-11-20 17:34:47,457][src.train.train_delayed_match][INFO] - train epoch 032 loss 0.6925 accuracy 45.31
[2024-11-20 17:34:47,459][src.train.train_delayed_match][INFO] - 	 Starting Epoch:33 
[2024-11-20 17:34:48,161][src.train.train_delayed_match][INFO] - train epoch 033 loss 0.6924 accuracy 54.69
[2024-11-20 17:34:48,163][src.train.train_delayed_match][INFO] - 	 Starting Epoch:34 
[2024-11-20 17:34:48,863][src.train.train_delayed_match][INFO] - train epoch 034 loss 0.6930 accuracy 51.56
[2024-11-20 17:34:48,864][src.train.train_delayed_match][INFO] - 	 Starting Epoch:35 
[2024-11-20 17:34:49,567][src.train.train_delayed_match][INFO] - train epoch 035 loss 0.6924 accuracy 43.75
[2024-11-20 17:34:49,568][src.train.train_delayed_match][INFO] - 	 Starting Epoch:36 
[2024-11-20 17:34:50,272][src.train.train_delayed_match][INFO] - train epoch 036 loss 0.6931 accuracy 51.56
[2024-11-20 17:34:50,274][src.train.train_delayed_match][INFO] - 	 Starting Epoch:37 
[2024-11-20 17:34:50,975][src.train.train_delayed_match][INFO] - train epoch 037 loss 0.6929 accuracy 59.38
[2024-11-20 17:34:50,976][src.train.train_delayed_match][INFO] - 	 Starting Epoch:38 
[2024-11-20 17:34:51,679][src.train.train_delayed_match][INFO] - train epoch 038 loss 0.6928 accuracy 54.69
[2024-11-20 17:34:52,808][src.train.train_delayed_match][INFO] - 	 Starting Epoch:39 
[2024-11-20 17:34:53,517][src.train.train_delayed_match][INFO] - train epoch 039 loss 0.6924 accuracy 50.00
